Дата;Время;Карта;Левый;Правый;Код поиска;Имя файла
10.08.16;14:15:56.509;A60AD1;пусто;пусто;1;GraphConsole.txt.10
10.08.16;14:24:52.769;A60AD1;пусто;пусто;1;GraphConsole.txt.10
10.08.16;14:25:45.410;A60AD1;пусто;пусто;1;GraphConsole.txt.10
10.08.16;14:27:04.799;A60AD1;пусто;пусто;1;GraphConsole.txt.10
10.08.16;17:45:13.302;DC5AC1;пусто;0.288871;1;GraphConsole.txt.10
10.08.16;18:00:03.731;DC5AAC;0.301685;пусто;1;GraphConsole.txt.10
10.08.16;19:29:43.198;A60D14;0.287434;пусто;1;GraphConsole.txt.10
11.08.16;13:59:05.052;DC5C64;0.326371;пусто;1;GraphConsole.txt.10
09.08.16;13:49:07.087;D73953;0.393876;0.434027;1;GraphConsole.txt.11
09.08.16;13:49:46.742;D73953;0.426877;0.425334;1;GraphConsole.txt.11
09.08.16;13:50:21.132;D73953;0.415983;0.455686;1;GraphConsole.txt.11
19.08.16;14:19:34.401;A60CF0;пусто;0.368371;1;GraphConsole.txt.15
19.08.16;14:40:04.031;DC5ABA;0.41113;0.368528;1;GraphConsole.txt.15
19.08.16;14:50:39.758;DC5ABB;0.322075;пусто;1;GraphConsole.txt.15
19.08.16;15:26:07.926;A60CF2;пусто;0.398332;1;GraphConsole.txt.15
19.08.16;15:40:38.387;CD88D2;0.364551;0.30025;1;GraphConsole.txt.15
19.08.16;15:41:19.859;A602CB;0.304181;пусто;1;GraphConsole.txt.15
19.08.16;15:44:50.541;A60354;пусто;0.39366;1;GraphConsole.txt.15
19.08.16;15:47:01.290;D73929;0.34439;пусто;1;GraphConsole.txt.15
19.08.16;19:41:51.946;D7390B;0.391907;0.434338;1;GraphConsole.txt.15
19.08.16;19:42:19.961;D7390B;0.364669;0.454911;1;GraphConsole.txt.15
19.08.16;21:17:45.394;DC5AB1;0.356816;пусто;1;GraphConsole.txt.15
19.08.16;21:18:53.446;DC5AB1;0.372582;0.414575;1;GraphConsole.txt.15
19.08.16;23:17:24.281;D7390A;пусто;0.256055;1;GraphConsole.txt.15
19.08.16;23:18:12.423;D7390C;пусто;0.304779;1;GraphConsole.txt.15
19.08.16;23:18:58.655;D7390B;0.414831;0.427146;1;GraphConsole.txt.15
20.08.16;02:01:35.331;D73953;0.487516;0.451658;1;GraphConsole.txt.15
